i,j,n_i,rel_roundtrip_minus_I
vit,mobilenet,128,0.9960858617201043
vit,minilm,128,0.9960857754311943
vit,clip_vision,128,0.9960858504599742
vit,clip_text,128,0.9960846326676785
mobilenet,vit,128,0.9960858816210675
mobilenet,minilm,128,0.9960569215388477
mobilenet,clip_vision,128,0.9960584995041685
mobilenet,clip_text,128,0.9959291586884289
minilm,vit,128,0.9966328918889966
minilm,mobilenet,128,0.9966490104856552
minilm,clip_vision,128,0.9966187247188409
minilm,clip_text,128,0.9963233570608587
clip_vision,vit,128,0.9960858777158367
clip_vision,mobilenet,128,0.9960587843437401
clip_vision,minilm,128,0.9960464038020795
clip_vision,clip_text,128,0.9958931376582061
clip_text,vit,128,0.9966297985025212
clip_text,mobilenet,128,0.9965421500733738
clip_text,minilm,128,0.9960964626756845
clip_text,clip_vision,128,0.9964684064966749
